L,J_over_U,tau,k,n_subsets,gap_clip,ci_lo_clip,ci_hi_clip,gap_signed,ci_lo_signed,ci_hi_signed,gap_abs,ci_lo_abs,ci_hi_abs,gap_redist,ci_lo_redist,ci_hi_redist,fi_clip,mean_clip,fi_signed,mean_signed,fi_abs,mean_abs,fi_redist,mean_redist,same_sign_clip_signed,same_sign_clip_abs
6,0.12,1,2,15,-0.0016331851218280033,-0.002385729104714682,-0.000882549872770208,0.0004892712254260356,-0.0010053070066003136,0.0020090620101564233,-0.003755641469082042,-0.004467000182434122,-0.002937910902335946,0.0009860470161256862,0.000633674045889058,0.0013720823022066156,0.0001521204324874681,0.0017853055543154714,0.0001521204324874681,-0.00033715079293856754,0.0001521204324874681,0.00390776190156951,0.013817914078346316,0.01283186706222063,0,1
6,0.12,2,2,15,-0.002363700574591032,-0.0037164163477229808,-0.0009718651988476196,0.0022708569883451895,-0.0004796250959466127,0.005211049939004777,-0.006998258137527255,-0.0082272959360584,-0.005503257090144225,0.0035957052791524974,0.001954657645740322,0.005165791091511435,0.0007603518573284784,0.0031240524319195106,0.0007603518573284784,-0.0015105051310167112,0.0007603518573284784,0.007758609994855733,0.031020494864626713,0.027424789585474216,0,1
6,0.12,3,2,15,-0.0023664874033585415,-0.004547992056468829,-0.0003290052154583811,0.004820388457616731,0.00014501554220754914,0.009478464247935697,-0.009553363264333814,-0.011538100966852064,-0.007555877431521736,0.008325413718880716,0.0056339102966243134,0.011347065798270373,0.0024867533489499882,0.00485324075230853,0.0024867533489499882,-0.002333635108666743,0.0024867533489499882,0.012040116613283802,0.052078310123506166,0.04375289640462545,0,1
6,0.2,1,2,15,0.0012504181177774706,-0.00014924513251768972,0.002606426671838291,0.006716422524446897,0.003000590198422626,0.010177551055836776,-0.004215586288891956,-0.00569604150306997,-0.002666503685375361,0.0037278832282077387,0.002926973346796015,0.004537141225928895,0.00570688457288504,0.00445646645510757,0.00570688457288504,-0.0010095379515618562,0.00570688457288504,0.009922470861776996,0.037804664194729054,0.034076780966521315,1,0
6,0.2,2,2,15,0.006398619200980052,0.0035474715973046736,0.0095198596447369,0.01708885760009544,0.009958236783222746,0.024260128131861236,-0.0042916191981353345,-0.007734830264184942,-0.0006484601869543646,0.014964040941912782,0.01172516373432111,0.01805207810835986,0.013232740690823142,0.006834121489843089,0.013232740690823142,-0.0038561169092723004,0.013232740690823142,0.017524359888958476,0.08184478854387256,0.06688074760195978,1,0
6,0.2,3,2,15,0.012476757473647042,0.007639163997451263,0.01721775476696101,0.028477691508594152,0.01797076018785886,0.039145211686010394,-0.0035241765613000693,-0.008364405508934507,0.0014453333683901906,0.029487847061511335,0.02288516708678413,0.03544367195766863,0.024011473830349073,0.011534716356702031,0.024011473830349073,-0.0044662176782450805,0.024011473830349073,0.027535650391649142,0.13034906308158212,0.10086121602007078,1,0
6,0.3,1,2,15,0.012439833775952109,0.009757146568748185,0.014804043630413825,0.022152810482288593,0.015926765674266794,0.028684247781986905,0.0027268570696156284,-0.00027089162306111664,0.0059492527109335485,0.006678690182564714,0.0050084877468538165,0.008291845966847816,0.019906587795288866,0.007466754019336756,0.019906587795288866,-0.0022462226869997253,0.019906587795288866,0.017179730725673237,0.06653940641184053,0.059860716229275815,1,1
6,0.3,2,2,15,0.028858798685339315,0.022228502515711863,0.03421130691632489,0.047762106006978375,0.03500475126582685,0.06037679285421461,0.009955491363700254,0.003246749268704908,0.01681737344239559,0.024341121929873144,0.01821356939071247,0.030256869308355867,0.04100046622405362,0.012141667538714308,0.04100046622405362,-0.006761639782924755,0.04100046622405362,0.031044974860353368,0.13824969736123865,0.11390857543136551,1,1
6,0.3,3,2,15,0.040876265138005075,0.03089426128320479,0.048884243231769285,0.06846633274944655,0.04996085917136577,0.08659672140609789,0.013286197526563591,0.003876126211834917,0.024039960544254425,0.044236168832463896,0.03463321071760821,0.053971281335827286,0.06307091567405854,0.022194650536053465,0.06307091567405854,-0.005395417075388013,0.06307091567405854,0.049784718147494945,0.21102342171502791,0.16678725288256402,1,1
6,0.4,1,2,15,0.020547398680085385,0.016238478376521197,0.024075168357196836,0.03288564981761043,0.023566432643210213,0.04092566430149294,0.008209147542560347,0.0034954283766746126,0.012551858727731749,0.008538668591851595,0.006335774510893543,0.010835054212191471,0.029066618371854425,0.008519219691769038,0.029066618371854425,-0.003819031445756001,0.029066618371854425,0.020857470829294077,0.08257173485846775,0.07403306626661615,1,1
6,0.4,2,2,15,0.039028715594644436,0.03011364694855446,0.046549160393282246,0.0635140250277932,0.04630506416802218,0.07892442596261272,0.014543406161495673,0.00655578402262409,0.022916336949656863,0.030110598953667272,0.022807892478962165,0.037919080459270886,0.05472207222067438,0.015693356626029945,0.05472207222067438,-0.008791952807118818,0.05472207222067438,0.040178666059178705,0.17324939113307203,0.14313879217940476,1,1
6,0.4,3,2,15,0.04709213381862766,0.03472797006632639,0.05743300736702484,0.081755780794398,0.057502140305220655,0.10719074355913787,0.012428486842857328,0.001696856632829401,0.02528008019417119,0.05417627700446245,0.04121541714824313,0.06642141139927636,0.07763673620988398,0.030544602391256323,0.07763673620988398,-0.00411904458451402,0.07763673620988398,0.06520824936702665,0.2600927271496165,0.20591645014515406,1,1
7,0.12,1,3,35,-0.0027616740015525597,-0.003714741646760048,-0.001781424983008864,-0.0012988170459007431,-0.003058132842500241,0.0005725195871178346,-0.0042245309572043754,-0.004758740481073579,-0.003692067164848996,0.0020450253818596886,0.0015569330465234502,0.0025596648031169615,0.0022836096810482376,0.005045283682600797,-0.0017232139889705178,-0.00042439694306977457,0.006290433351066993,0.010514964308271368,0.027773603734920993,0.025728578353061304,1,1
7,0.12,2,3,35,-0.004236022273322338,-0.006126676636555419,-0.0026470483375443236,-0.0012023719925087534,-0.005110152303972201,0.002601857525137361,-0.0072696725541359225,-0.008422217101479536,-0.0061382206837306,0.008571568258960806,0.006090959784754622,0.010938064280265277,0.005472377416290697,0.009708399689613035,-0.003276257687305162,-0.0020738856947964085,0.014221012519886556,0.021490685074022478,0.0627303664957995,0.05415879823683869,1,1
7,0.12,3,3,35,-0.005642705312353351,-0.008307307185623605,-0.0027540006163415524,1.8910982244161028e-05,-0.00589495484220115,0.005890194800914449,-0.01130432160695087,-0.013332381595755186,-0.009309765945342658,0.017328522423140216,0.011986475658142103,0.022125640570795798,0.009002215696041427,0.014644921008394778,-0.0038776931635329803,-0.0038966041457771414,0.021882124555615834,0.033186446162566705,0.10266327685095844,0.08533475442781822,0,1
7,0.2,1,3,35,-0.0025137732148664722,-0.00378812494214673,-0.0011444770939265038,0.005978270352383283,0.0029443140829348425,0.009094453504859813,-0.011005816782116228,-0.0125616881926146,-0.009308930412389655,0.004093175369952545,0.0033025622798121173,0.004794107253844458,0.004721044650478512,0.007234817865344984,0.004721044650478512,-0.0012572257019047707,0.004721044650478512,0.01572686143259474,0.04459130785206267,0.04049813248211012,0,1
7,0.2,2,3,35,-0.0008393861039874915,-0.003304957857169266,0.0015720847217930735,0.01724606540609938,0.011430470926785048,0.023668253564469756,-0.01892483761407437,-0.02187297063292334,-0.01593432200409368,0.013239680939597903,0.00996098965928235,0.01639431273725995,0.011904439754535756,0.012743825858523248,0.011904439754535756,-0.005341625651563626,0.011904439754535756,0.030829277368610127,0.09740621063178379,0.08416652969218588,0,1
7,0.2,3,3,35,0.003406787888463502,-0.0003848621603072634,0.007211223673318415,0.031228167365145,0.02164685228209356,0.04201604546906471,-0.024414591588218,-0.029196910800553248,-0.01943311134379458,0.027314928531729094,0.021317984880609497,0.03322357796602032,0.023039659715407668,0.019632871826944166,0.023039659715407668,-0.00818850764973733,0.023039659715407668,0.04745425130362567,0.15739827061823503,0.13008334208650593,1,0
7,0.3,1,3,35,0.012534706910355645,0.010787267466092923,0.014194314806010216,0.02549475098431346,0.020896806954240506,0.030019903283683282,-0.00042533716360217133,-0.00273865408328952,0.001973637057467397,0.006873168883336028,0.005976939307732951,0.007872330005216326,0.022705393239483507,0.010170686329127862,0.022705393239483507,-0.002789357744829955,0.022705393239483507,0.023130730403085678,0.06879103316165225,0.06191786427831622,1,0
7,0.3,2,3,35,0.030806571785486035,0.026678420447911848,0.035082626489791865,0.05765977325844596,0.047683488272018903,0.06706269421392029,0.003953370312526114,-0.0011879217442279997,0.009073552830633245,0.0210709877267925,0.017847432405356023,0.02434352244486162,0.04793563303654835,0.017129061251062318,0.04793563303654835,-0.009724140221897604,0.04793563303654835,0.04398226272402224,0.145136963636475,0.12406597590968249,1,1
7,0.3,3,3,35,0.0465385302948796,0.0397367139136028,0.053447057285640934,0.08775389068111622,0.07413401656041034,0.10294568295626068,0.005323169908642969,-0.00280641925842223,0.013297227368433686,0.03860246044962223,0.032611995852224365,0.0445662736422748,0.07628648687257916,0.029747956577699564,0.07628648687257916,-0.011467403808537065,0.07628648687257916,0.0709633169639362,0.2278854990867611,0.18928303863713886,1,1
7,0.4,1,3,35,0.024332545109621587,0.02130672857047102,0.02734325226624925,0.0419760061101554,0.03583459208046097,0.04844117223727891,0.006689084109087768,0.0034444452252375816,0.009790488785596381,0.0039041911988658973,0.002582995324714828,0.005086123084823896,0.03722840530934335,0.01289586019972176,0.03722840530934335,-0.004747600800812056,0.03722840530934335,0.03053932120025558,0.08459903492155274,0.08069484372268684,1,1
7,0.4,2,3,35,0.04936343573900143,0.04254317686595383,0.055919748082500144,0.08609331310960296,0.07372677999407903,0.09910482126507647,0.012633558368399897,0.006214850043895388,0.019158170782349472,0.016953190965408066,0.012753236378303473,0.021139611218726997,0.07310856624027728,0.023745130501275857,0.07310856624027728,-0.012984746869325674,0.07310856624027728,0.06047500787187739,0.18021010185944814,0.16325691089404007,1,1
7,0.4,3,3,35,0.06677041779045172,0.05765341533924193,0.07581230881760764,0.11986702593315328,0.10032338394131105,0.13952669581929042,0.01367380964775014,0.003977018251455054,0.0236469210496011,0.04017002146458684,0.033080190710671475,0.047390961987619114,0.10942850674265375,0.042658088952202036,0.10942850674265375,-0.010438519190499521,0.10942850674265375,0.09575469709490361,0.28096152929795515,0.2407915078333683,1,1
8,0.12,1,3,56,-0.0022131659587541425,-0.002686361381119174,-0.0017547126506076457,-0.0004448310284863073,-0.0012999995594554436,0.00041703919120660666,-0.003981500889021978,-0.004490216013382703,-0.003472332679881862,0.0020991590149888485,0.001809829654087901,0.0023860873500516733,7.036381850400453e-05,0.002283529777258147,-0.0009482257750131895,-0.0005033947465268822,0.0010889534120211986,0.005070454301043177,0.01656046217939039,0.014461303164401541,1,1
8,0.12,2,3,56,-0.0041612264325070715,-0.005060153975904822,-0.0032625189459365863,-0.0009819682686819067,-0.002744018485382196,0.0009107818557072716,-0.007340484596332238,-0.008345587025458314,-0.006417435394848476,0.007168607296398517,0.005922657688341236,0.008439878487660823,0.0,0.0041612264325070715,-0.0032184240233981143,-0.0022364557547162075,0.0032184240233981143,0.010558908619730353,0.039044387870236064,0.031875780573837546,1,1
8,0.12,3,3,56,-0.006356813555916972,-0.007586088878057851,-0.005176430332090608,-0.000948724651031792,-0.003514706591910137,0.0019770319818472335,-0.01176490246080215,-0.013243236268581688,-0.010397507668346618,0.012224828873900043,0.01010922142466621,0.01429760194746447,0.0001257003990584593,0.006482513954975432,-0.004387193460958838,-0.003438468809927046,0.004638594259075757,0.016403496719877907,0.06349312981638694,0.0512683009424869,1,1
8,0.2,1,3,56,-0.0010266919146630655,-0.001831593305200569,-0.0002275387879442673,0.005462649151857452,0.003493044315757437,0.007574695186996868,-0.007516032981183585,-0.008582631540671916,-0.006447196961813465,0.002647591623960055,0.0021431449035960288,0.0031077036170817592,0.003958774838120127,0.004985466752783193,0.003958774838120127,-0.001503874313737325,0.003958774838120127,0.011474807819303712,0.038144868894239625,0.03549727727027957,0,1
8,0.2,2,3,56,0.0017310217839361115,0.00012836662094280378,0.0032345351067009616,0.01604551853626469,0.011985306277636798,0.020261534124810018,-0.012583474968392468,-0.014671493115540673,-0.01033449883595003,0.004561642233621918,0.0025718405427882386,0.006626427291495697,0.010376107669256118,0.008645085885320007,0.010376107669256118,-0.005669410867008573,0.010376107669256118,0.022959582637648586,0.07911916814253928,0.07455752590891736,1,0
