L,J_over_U,tau,k,delta_gamma,spearman_clip,spearman_signed,spearman_redist,pearson_clip,pearson_signed,pearson_redist,topk_overlap_clip,topk_overlap_signed,topk_overlap_redist,top1_match_clip,top1_match_signed
6,0.4,2,2,0.2,,-0.8857142857142858,0.942857142857143,,-0.8403385665752123,0.8015642696199083,0.0,0.0,1.0,0,0
6,0.4,3,2,0.2,0.5217939320872036,0.48571428571428577,0.5217939320872036,0.5932259110873097,0.8542326214525071,0.06364389989878706,0.0,0.0,1.0,0,0
7,0.12,1,3,0.05,-0.8017837257372733,-0.42857142857142866,0.41443123283995714,-0.9938583989307325,-0.8117672622680165,0.6544942841077136,0.0,0.3333333333333333,0.3333333333333333,0,0
7,0.12,2,3,0.05,-0.7572401854185359,-0.3783937343321348,0.6666937223947137,-0.9938583989307324,-0.8535698294859095,0.9584421846848846,0.0,0.3333333333333333,0.3333333333333333,0,0
7,0.12,3,3,0.05,-0.7572401854185359,-0.42857142857142866,0.642857142857143,-0.9938583989307326,-0.815382489364614,0.994106766561533,0.0,0.3333333333333333,0.3333333333333333,0,0
7,0.12,1,3,0.1,-0.8017837257372733,-0.42857142857142866,0.3783937343321348,-0.9938583989307324,-0.8113099393910321,0.6530343429592764,0.0,0.3333333333333333,0.3333333333333333,0,0
7,0.12,2,3,0.1,-0.7572401854185359,-0.3783937343321348,0.6071428571428572,-0.9938583989307326,-0.8539517265173259,0.9585909136699008,0.0,0.3333333333333333,0.3333333333333333,0,0
7,0.12,3,3,0.1,-0.7572401854185359,-0.42857142857142866,0.6785714285714287,-0.9938583989307327,-0.8217319344460927,0.9947802568357451,0.0,0.3333333333333333,0.3333333333333333,0,0
7,0.12,1,3,0.2,-0.7572401854185359,-0.42857142857142866,0.42857142857142866,-0.9938583989307326,-0.8103824795512613,0.6500661296519663,0.0,0.3333333333333333,0.3333333333333333,0,0
7,0.12,2,3,0.2,-0.7572401854185359,-0.3783937343321348,0.6546536707079773,-0.9938583989307325,-0.8543456782721224,0.9586843348012609,0.0,0.3333333333333333,0.3333333333333333,0,0
7,0.12,3,3,0.2,-0.7572401854185359,-0.39285714285714296,0.9189562119494703,-0.9938583989307324,-0.8315114825094165,0.9957148947334382,0.0,0.3333333333333333,1.0,0,0
7,0.2,1,3,0.05,-0.8017837257372733,-0.41443123283995714,0.9285714285714288,-0.97059638507882,-0.9522792689809911,0.9999737408477505,0.0,0.3333333333333333,1.0,0,0
7,0.2,2,3,0.05,-0.8017837257372733,-0.6306562238868914,0.8571428571428573,-0.9705963850788197,-0.9764502039845967,0.9688373359153448,0.0,0.3333333333333333,1.0,0,0
7,0.2,3,3,0.05,-0.8017837257372733,-0.6071428571428572,0.8365019125713042,-0.9705963850788197,-0.9412925036173658,0.8430540199465366,0.0,0.3333333333333333,1.0,0,0
7,0.2,1,3,0.1,-0.8017837257372733,-0.42857142857142866,0.9285714285714288,-0.9705963850788198,-0.9520981936395627,0.9999743311522792,0.0,0.3333333333333333,1.0,0,0
7,0.2,2,3,0.1,-0.7572401854185359,-0.594618725379069,0.8928571428571429,-0.97059638507882,-0.9770155693768676,0.9688632248249474,0.0,0.3333333333333333,1.0,0,0
7,0.2,3,3,0.1,-0.8017837257372733,-0.594618725379069,0.8214285714285715,-0.9705963850788197,-0.9489879954417174,0.8493263262132813,0.0,0.3333333333333333,1.0,0,0
7,0.2,1,3,0.2,-0.8017837257372733,-0.4642857142857144,0.9285714285714288,-0.9705963850788197,-0.9517209315480122,0.9999744672738579,0.0,0.3333333333333333,1.0,0,0
7,0.2,2,3,0.2,-0.8017837257372733,-0.6182840223353118,0.8365019125713042,-0.97059638507882,-0.9779263369764183,0.9688939716213651,0.0,0.3333333333333333,1.0,0,0
7,0.2,3,3,0.2,-0.8017837257372733,-0.6071428571428572,0.8108437164260032,-0.97059638507882,-0.9595076191857682,0.8588579942800303,0.0,0.3333333333333333,1.0,0,0
7,0.3,1,3,0.05,-0.7905694150420949,-0.8829187134416479,0.8928571428571429,-0.947357399060194,-0.9938754194651844,0.9500302721496622,0.0,0.0,1.0,0,0
7,0.3,2,3,0.05,,-0.8365019125713042,0.8468812149338255,,-0.9495777836644362,0.8965060614112723,0.3333333333333333,0.0,1.0,0,0
7,0.3,3,3,0.05,,-0.5357142857142858,0.5357142857142858,,-0.15061149154612935,0.5034151134417865,0.3333333333333333,0.0,1.0,0,0
7,0.3,1,3,0.1,-0.7572401854185359,-0.8214285714285715,0.8214285714285715,-0.9473573990601941,-0.9939166127056493,0.9498950544463818,0.0,0.0,1.0,0,0
7,0.3,2,3,0.1,,-0.8728715609439697,0.8468812149338255,,-0.9510068416230468,0.8983846841024747,0.3333333333333333,0.0,1.0,0,0
7,0.3,3,3,0.1,,-0.5357142857142858,0.5357142857142858,,-0.29784897024353085,0.5420665597440879,0.3333333333333333,0.0,1.0,0,0
7,0.3,1,3,0.2,-0.7905694150420949,-0.8728715609439697,0.8571428571428573,-0.947357399060194,-0.994001347698328,0.9496239908431909,0.0,0.0,1.0,0,0
7,0.3,2,3,0.2,,-0.8365019125713042,0.8214285714285715,,-0.9535139849121099,0.9016854926190527,0.3333333333333333,0.0,1.0,0,0
7,0.3,3,3,0.2,,-0.5714285714285715,0.5819143739626464,,-0.5072076422819555,0.6030330604766649,0.3333333333333333,0.0,1.0,0,0
7,0.4,1,3,0.05,-0.7905694150420949,-0.9549937104572925,0.9642857142857145,-0.9331122485515255,-0.9680061152145238,0.9428891322901639,0.0,0.0,1.0,0,0
7,0.4,2,3,0.05,,-0.9549937104572925,0.9285714285714288,,-0.8391461186606037,0.8573864825054534,0.3333333333333333,0.0,1.0,0,0
7,0.4,3,3,0.05,-0.13363062095621223,0.28571428571428575,0.6071428571428572,0.0465271778025098,0.7684321567970283,0.23933889806852468,0.0,0.3333333333333333,1.0,0,0
7,0.4,1,3,0.1,-0.8017837257372733,-0.9910312089651149,0.981980506061966,-0.9331122485515255,-0.9680408635583158,0.9426943541110341,0.0,0.0,1.0,0,0
7,0.4,2,3,0.1,,-0.9189562119494703,0.9285714285714288,,-0.8493065300214362,0.8617780913384234,0.3333333333333333,0.0,1.0,0,0
7,0.4,3,3,0.1,-0.13363062095621223,0.28571428571428575,0.5714285714285715,0.0465271778025098,0.7273721463390135,0.28896598378464194,0.0,0.3333333333333333,1.0,0,0
7,0.4,1,3,0.2,-0.8017837257372733,-0.9910312089651149,0.9642857142857145,-0.9331122485515255,-0.9681143823761766,0.9423042618438564,0.0,0.0,1.0,0,0
7,0.4,2,3,0.2,,-0.9189562119494703,0.9642857142857145,,-0.8653714152139378,0.8692738421515857,0.3333333333333333,0.0,1.0,0,0
7,0.4,3,3,0.2,-0.13363062095621223,0.28571428571428575,0.6071428571428572,0.0465271778025098,0.6257372257685252,0.36947052157134885,0.0,0.3333333333333333,1.0,0,0
8,0.12,1,3,0.05,-0.7637626158259734,-0.203596464525254,0.1666666666666667,-0.9715367928938258,-0.8376217259240549,0.9200216188364333,0.0,0.3333333333333333,0.0,0,0
8,0.12,2,3,0.05,-0.7325886315065459,-0.181848241863327,0.7619047619047621,-0.9715367928938254,-0.8680840829355296,0.995366522487364,0.0,0.3333333333333333,0.6666666666666666,0,0
8,0.12,3,3,0.05,-0.7325886315065459,-0.19047619047619052,0.9523809523809524,-0.9715367928938257,-0.7817370579272227,0.9978742867189134,0.0,0.3333333333333333,1.0,0,0
8,0.12,1,3,0.1,-0.7637626158259734,-0.2142857142857143,0.17964393928698885,-0.9715367928938257,-0.8372631005073177,0.919878333882749,0.0,0.3333333333333333,0.0,0,0
8,0.12,2,3,0.1,-0.7637626158259734,-0.21688321172034594,0.7857142857142858,-0.9715367928938257,-0.8688370006630267,0.9954063040840048,0.0,0.3333333333333333,0.6666666666666666,0,0
8,0.12,3,3,0.1,-0.7325886315065459,-0.17964393928698885,0.9700772721497397,-0.9715367928938257,-0.7938437870823127,0.9981937334080524,0.0,0.3333333333333333,1.0,0,0
8,0.12,1,3,0.2,-0.7637626158259734,-0.22754898976351917,0.2142857142857143,-0.9715367928938254,-0.836528240935583,0.9195731744098925,0.0,0.3333333333333333,0.3333333333333333,0,0
8,0.12,2,3,0.2,-0.7559289460184545,-0.20609467411177057,0.7619047619047621,-0.9715367928938256,-0.869964694215229,0.995475088780817,0.0,0.3333333333333333,0.6666666666666666,0,0
8,0.12,3,3,0.2,-0.7325886315065459,-0.17964393928698885,0.9523809523809524,-0.9715367928938256,-0.8119699800736544,0.9986339005095818,0.0,0.3333333333333333,1.0,0,0
8,0.2,1,3,0.05,-0.7683498199278325,-0.41212878113068263,0.7784570702436183,-0.9539872678222749,-0.9410142952172007,0.9964570516868828,0.0,0.3333333333333333,0.6666666666666666,0,0
8,0.2,2,3,0.05,-0.7369886027879208,-0.3757644769132694,0.7784570702436183,-0.9539872678222749,-0.95711513460669,0.9768990046000602,0.0,0.3333333333333333,0.6666666666666666,0,0
8,0.2,3,3,0.05,-0.7683498199278325,-0.38554216867469876,0.7545045450053531,-0.9539872678222749,-0.828251437926754,0.8065543994260806,0.0,0.3333333333333333,0.6666666666666666,0,0
8,0.2,1,3,0.1,-0.7604691006293735,-0.39270455493905276,0.7784570702436183,-0.953987267822275,-0.9409003625249572,0.9964678323172449,0.0,0.3333333333333333,0.6666666666666666,0,0
8,0.2,2,3,0.1,-0.7604691006293735,-0.3757644769132694,0.7784570702436183,-0.9539872678222749,-0.958020503734278,0.9772196481389337,0.0,0.3333333333333333,0.6666666666666666,0,0
8,0.2,3,3,0.1,-0.7369886027879208,-0.3757644769132694,0.730552019767088,-0.9539872678222749,-0.8661649911591094,0.8279879559044816,0.0,0.3333333333333333,0.6666666666666666,0,0
