L,J_over_U,tau,k,n_subsets,fi_val_clip,best_clip,worst_clip,median_clip,mean_clip,std_clip,percentile_clip,rank_clip,fi_val_signed,best_signed,worst_signed,median_signed,mean_signed,std_signed,percentile_signed,rank_signed,fi_val_abs,best_abs,worst_abs,median_abs,mean_abs,std_abs,percentile_abs,rank_abs,fi_val_redist,best_redist,worst_redist,median_redist,mean_redist,std_redist,percentile_redist,rank_redist
6,0.12,1,2,15,0.0001521204324874681,0.005228921908722151,0.0,0.002466683489223631,0.0017853055543154714,0.0015736293023160429,40.0,10,0.0001521204324874681,0.005228921908722151,-0.006021269694395703,-5.209244112669431e-05,-0.00033715079293856754,0.0030107593720527168,66.66666666666666,6,0.0001521204324874681,0.006021269694395703,0.0001521204324874681,0.003574742683687293,0.00390776190156951,0.0015160742228904312,6.666666666666667,15,0.013817914078346316,0.013817914078346316,0.011376880070603224,0.012575219817272942,0.01283186706222063,0.0007409932904511485,100.0,1
6,0.12,2,2,15,0.0007603518573284784,0.008348647075964277,0.0,0.003498489990980458,0.0031240524319195106,0.0027121421412501672,40.0,10,0.0007603518573284784,0.008348647075964277,-0.011884259990212476,0.00012585712489615597,-0.0015105051310167112,0.0059291518283080685,66.66666666666666,6,0.0007603518573284784,0.011884259990212476,0.0007603518573284784,0.008348647075964277,0.007758609994855733,0.002613755303181849,6.666666666666667,15,0.031020494864626713,0.031020494864626713,0.02039561294577763,0.027398872792328333,0.027424789585474216,0.003073040997611188,100.0,1
6,0.12,3,2,15,0.0024867533489499882,0.011815892821970153,0.0,0.0047560675719181544,0.00485324075230853,0.004130918557915933,40.0,10,0.0024867533489499882,0.011815892821970153,-0.018177596647896255,0.0009222429529142651,-0.002333635108666743,0.009266641114145508,80.0,4,0.0024867533489499882,0.018177596647896255,0.0024867533489499882,0.011815892821970153,0.012040116613283802,0.0038116219112163605,6.666666666666667,15,0.052078310123506166,0.052078310123506166,0.02980249679940794,0.04571212075624581,0.04375289640462545,0.005681347830569868,100.0,1
6,0.2,1,2,15,0.00570688457288504,0.00902250473418409,0.0,0.004604441602295006,0.00445646645510757,0.0026824583594579287,80.0,4,0.00570688457288504,0.00902250473418409,-0.016595869779916284,-0.0027399147465173024,-0.0010095379515618562,0.007347118520118989,80.0,4,0.00570688457288504,0.016595869779916284,0.005403613152822562,0.010092532526844555,0.009922470861776996,0.0029887171927971768,20.0,13,0.037804664194729054,0.037804664194729054,0.03121826803354505,0.03444746338906868,0.034076780966521315,0.0016865124203823006,100.0,1
6,0.2,2,2,15,0.013232740690823142,0.017392009639386585,0.0,0.006229106517892102,0.006834121489843089,0.005776847352281562,86.66666666666667,3,0.013232740690823142,0.017392009639386585,-0.0320962231406946,-0.004459920763066838,-0.0038561169092723004,0.01435178103909226,86.66666666666667,3,0.013232740690823142,0.0320962231406946,0.004217705864475341,0.018246811168979138,0.017524359888958476,0.006871142289591361,26.666666666666668,12,0.08184478854387256,0.08184478854387256,0.05490898046438364,0.0676545680034315,0.06688074760195978,0.006728191198118064,100.0,1
6,0.2,3,2,15,0.024011473830349073,0.02848443223296493,0.0,0.009096035075639608,0.011534716356702031,0.009312293953467126,86.66666666666667,3,0.024011473830349073,0.02848443223296493,-0.0474335511184098,-0.0038201140124795585,-0.0044662176782450805,0.022057140594421515,86.66666666666667,3,0.024011473830349073,0.0474335511184098,0.007683492143940374,0.02866814577539417,0.027535650391649142,0.01009429599720929,26.666666666666668,12,0.13034906308158212,0.13034906308158212,0.07837356455420047,0.1022991666227327,0.10086121602007078,0.012488432450230128,100.0,1
6,0.3,1,2,15,0.019906587795288866,0.019906587795288866,0.0,0.006466547385714838,0.007466754019336756,0.005188017557147455,100.0,1,0.019906587795288866,0.019906587795288866,-0.029365867121391498,-0.007215646069832826,-0.0022462226869997253,0.012982554952349328,100.0,1,0.019906587795288866,0.029365867121391498,0.005440539408866574,0.017465146190130842,0.017179730725673237,0.006167182154222491,66.66666666666666,6,0.06653940641184053,0.06653940641184053,0.05435736729965429,0.06031079983328458,0.059860716229275815,0.0030833064735267188,100.0,1
6,0.3,2,2,15,0.04100046622405362,0.04100046622405362,0.0,0.007745516737908353,0.012141667538714308,0.01197100117671411,100.0,1,0.04100046622405362,0.04100046622405362,-0.05543143356352492,-0.014532891391848546,-0.006761639782924755,0.025425577321228562,100.0,1,0.04100046622405362,0.05543143356352492,0.0019331388875621913,0.03344142356730373,0.031044974860353368,0.013616970619957283,93.33333333333333,2,0.13824969736123865,0.13824969736123865,0.09254577731058039,0.11443979385168257,0.11390857543136551,0.011430845462108532,100.0,1
6,0.3,3,2,15,0.06307091567405854,0.06307091567405854,0.0,0.018542045171268562,0.022194650536053465,0.0179033102318348,100.0,1,0.06307091567405854,0.06307091567405854,-0.07987693493838888,-0.013239565953077848,-0.005395417075388013,0.03826747016780964,100.0,1,0.06307091567405854,0.07987693493838888,0.005802917512137684,0.058273037313761766,0.049784718147494945,0.01956227454201954,93.33333333333333,2,0.21102342171502791,0.21102342171502791,0.13160922184745372,0.1703333766619669,0.16678725288256402,0.01990990816852235,100.0,1
6,0.4,1,2,15,0.029066618371854425,0.029066618371854425,0.0,0.008226520088362665,0.008519219691769038,0.008032240479293656,100.0,1,0.029066618371854425,0.029066618371854425,-0.03651263671491456,-0.00821453645003778,-0.003819031445756001,0.016649860776546798,100.0,1,0.029066618371854425,0.03651263671491456,0.0007702269413248919,0.019040834516038885,0.020857470829294077,0.009035945100385325,93.33333333333333,2,0.08257173485846775,0.08257173485846775,0.06559785670534168,0.07386388726561649,0.07403306626661615,0.004392293132899166,100.0,1
6,0.4,2,2,15,0.05472207222067438,0.05472207222067438,0.0,0.00930065433622529,0.015693356626029945,0.01639959285447394,100.0,1,0.05472207222067438,0.05472207222067438,-0.069289664450428,-0.01645403144781077,-0.008791952807118818,0.03290833263922643,100.0,1,0.05472207222067438,0.069289664450428,0.0023699487964387034,0.04600606995031087,0.040178666059178705,0.01724708869916328,93.33333333333333,2,0.17324939113307203,0.17324939113307203,0.1171883030940859,0.14912971517587248,0.14313879217940476,0.015143195383352183,100.0,1
6,0.4,3,2,15,0.07763673620988398,0.07763673620988398,0.0,0.021185311673966645,0.030544602391256323,0.022567617947652923,100.0,1,0.07763673620988398,0.07763673620988398,-0.0966531174638956,-0.01129756684808697,-0.00411904458451402,0.04837609225411159,100.0,1,0.07763673620988398,0.0966531174638956,0.0091572889611099,0.07658060787678367,0.06520824936702665,0.023053158567710782,66.66666666666666,6,0.2600927271496165,0.2600927271496165,0.1661338394323777,0.21130416303127753,0.20591645014515406,0.023994273430793234,100.0,1
7,0.12,1,3,35,0.0022836096810482376,0.011175476454957034,0.0,0.004998244287159115,0.005045283682600797,0.0029734798911307744,28.57142857142857,26,-0.0017232139889705178,0.011175476454957034,-0.0113168693881181,-0.00108172017844127,-0.00042439694306977457,0.005487696156634309,40.0,22,0.006290433351066993,0.013636244756375648,0.006290433351066993,0.010899733643104148,0.010514964308271368,0.001676909976187579,2.857142857142857,35,0.027773603734920993,0.028857964806959457,0.022350952909914013,0.026120400499741014,0.025728578353061304,0.0015413560392767995,94.28571428571428,3
7,0.12,2,3,35,0.005472377416290697,0.019917383094328556,0.0,0.010592584402254412,0.009708399689613035,0.005520768586148874,28.57142857142857,26,-0.003276257687305162,0.018660269138740915,-0.0253271919685093,-0.0021330014554740706,-0.0020738856947964085,0.011482905300886428,45.714285714285715,20,0.014221012519886556,0.026243098793615693,0.014221012519886556,0.022639625766850913,0.021490685074022478,0.0034710430193116734,2.857142857142857,35,0.0627303664957995,0.06917994264368138,0.03732053827748161,0.05597310430063979,0.05415879823683869,0.007501544197207584,88.57142857142857,5
7,0.12,3,3,35,0.009002215696041427,0.029948908125209617,0.0,0.015058303591546862,0.014644921008394778,0.00822112522729105,28.57142857142857,26,-0.0038776931635329803,0.02544648224328555,-0.040977842088503136,-0.0028142541557445444,-0.0038966041457771414,0.018115062103390946,45.714285714285715,20,0.021882124555615834,0.040977842088503136,0.021882124555615834,0.03519647985844615,0.033186446162566705,0.005934524896701917,2.857142857142857,35,0.10266327685095844,0.11504614206571373,0.05089296448657055,0.08819506550781592,0.08533475442781822,0.015200584017568257,88.57142857142857,5
7,0.2,1,3,35,0.004721044650478512,0.015108714780582344,0.0,0.007738537371575149,0.007234817865344984,0.004098261056586066,28.57142857142857,26,0.004721044650478512,0.015108714780582344,-0.02074744820385216,-0.0014430477978676914,-0.0012572257019047707,0.009557032132534423,74.28571428571429,10,0.004721044650478512,0.02534187744046623,0.004721044650478512,0.015526496985638405,0.01572686143259474,0.0046994766813022795,2.857142857142857,35,0.04459130785206267,0.04592767506655049,0.036584355134832824,0.04018157472631828,0.04049813248211012,0.002266437600331326,94.28571428571428,3
7,0.2,2,3,35,0.011904439754535756,0.027247311220523485,0.0,0.012162673141715041,0.012743825858523248,0.007390205962267762,45.714285714285715,20,0.011904439754535756,0.027247311220523485,-0.0455084905783365,-0.006240104727559204,-0.005341625651563626,0.019400951488595733,80.0,8,0.011904439754535756,0.048734103506391846,0.011904439754535756,0.0292886660822696,0.030829277368610127,0.0091259587292117,2.857142857142857,35,0.09740621063178379,0.11124852800513096,0.06768104008486364,0.08360282111232636,0.08416652969218588,0.010355045858469636,94.28571428571428,3
7,0.2,3,3,35,0.023039659715407668,0.039726697005730616,0.0,0.01951769714853213,0.019632871826944166,0.011433723937686486,65.71428571428571,13,0.023039659715407668,0.039726697005730616,-0.0703064761529506,-0.007677084511086452,-0.00818850764973733,0.03001633059788841,88.57142857142857,5,0.023039659715407668,0.07499678453197667,0.022571704063324316,0.04751158028598029,0.04745425130362567,0.014110970322791962,11.428571428571429,32,0.15739827061823503,0.1736902919290893,0.10334675653533498,0.12981253899358164,0.13008334208650593,0.017725376743754132,94.28571428571428,3
7,0.3,1,3,35,0.022705393239483507,0.022705393239483507,0.0027350994849095756,0.007750798113863089,0.010170686329127862,0.0051909717477651015,100.0,1,0.022705393239483507,0.022705393239483507,-0.02741501854916728,-0.0038123782689713503,-0.002789357744829955,0.013908505252812092,100.0,1,0.022705393239483507,0.036573753815557886,0.006093477218301058,0.022423861131061484,0.023130730403085678,0.007077961684047747,57.14285714285714,16,0.06879103316165225,0.06879103316165225,0.05619689916270798,0.06153650613058642,0.06191786427831622,0.0029599912798367795,100.0,1
