J_over_U,delta,tau,spread_ind,pct_endpointF,pcttot_endpointF,sp_endpointF,sptot_endpointF,pct_coh,pcttot_coh,sp_coh,sptot_coh,pct_cur,pcttot_cur,sp_cur,sptot_cur,pct_occ,pcttot_occ,sp_occ,sptot_occ
0.2,0.5,2,0.00542346320130602,10.0,80.0,-0.25076569857702247,0.9390418473114204,20.0,90.0,-0.27439024390243905,0.9240164263936983,50.0,10.0,0.2553203283456271,-0.9151515151515152,20.0,90.0,-0.26747843921922837,0.9272727272727272
0.2,-0.2,2,0.0020311706459051337,70.0,90.0,-0.10975813799743875,0.7926976633148354,80.0,100.0,-0.07294866524160776,0.8145934285312865,60.0,10.0,0.05454545454545454,-0.8060606060606059,80.0,100.0,-0.06666666666666665,0.8181818181818182
0.2,0.1,3,0.002034527131152066,20.0,80.0,-0.21406827927306796,0.9146511499786562,20.0,90.0,-0.25609756097560976,0.9240164263936983,50.0,10.0,0.26747843921922837,-0.9151515151515152,20.0,90.0,-0.2553203283456271,0.9272727272727272
0.2,0.2,3,0.00415504381463204,20.0,80.0,-0.24464946202636342,0.9146511499786562,20.0,90.0,-0.2682926829268293,0.9240164263936983,50.0,10.0,0.2553203283456271,-0.9151515151515152,20.0,90.0,-0.26747843921922837,0.9272727272727272
0.2,0.5,3,0.010893809980649418,20.0,60.0,-0.23853322547570432,0.7926976633148354,20.0,70.0,-0.2439024390243903,0.7781190959104827,50.0,10.0,0.23100410659842455,-0.7696969696969697,20.0,70.0,-0.24316221747202585,0.7818181818181817
0.2,-0.2,3,0.0037596307556438235,100.0,100.0,0.20489392444707935,0.795110751585681,90.0,100.0,0.23780487804878048,0.8170731707317074,60.0,10.0,-0.24316221747202585,-0.8024353176576853,90.0,100.0,0.23100410659842455,0.8145934285312865
0.3,0.1,1,0.000796076467406856,40.0,100.0,0.04307712699279976,0.9573348703109935,40.0,100.0,0.04908067825548735,0.960490759014502,50.0,10.0,-0.1345622379598885,-0.9272727272727272,40.0,100.0,0.04893172289450492,0.9636363636363635
0.3,0.2,1,0.001590815968067899,40.0,100.0,0.018293022999573125,0.9573348703109935,40.0,100.0,0.024316221747202584,0.960490759014502,50.0,10.0,-0.11515151515151514,-0.9272727272727272,40.0,100.0,0.0303030303030303,0.9636363636363635
0.3,0.5,1,0.003964086033668379,30.0,90.0,0.03680981595092025,0.9235517191495218,30.0,90.0,0.030581182753295428,0.9207317073170734,50.0,10.0,-0.11585581233062979,-0.8389096502784892,30.0,90.0,0.030488371665955208,0.9240164263936982
0.3,-0.2,1,0.0015950032771068212,80.0,100.0,-0.06727860205724993,0.8109906863144085,80.0,100.0,-0.06707317073170732,0.8145934285312865,60.0,10.0,0.14589733048321551,-0.7333333333333332,80.0,100.0,-0.06079055436800646,0.8181818181818182
