tau,J_over_U,overlap_fi_geo,C_S_burn,D_S,D_S_geo,off_sel_frac,pct_fi,pct_geo,pct_dopt,dopt_eq_fi,sp_Fi_drain,D_S_neg,setting,pattern,strength,realization
1,0.12,0.5,0.0163467945204532,0.0520434078514513,0.046735022395936,0.4999999999999979,93.33333333333331,60.0,93.33333333333331,1,0.7714285714285715,,disorder,rand,0.5,0
2,0.12,0.5,0.0163467945204532,0.147749944744634,0.1369274645144724,0.4999999999999988,86.66666666666667,60.0,86.66666666666667,1,0.8857142857142858,,disorder,rand,0.5,0
3,0.12,0.5,0.0163467945204532,0.2483023244024254,0.2315428629544933,0.4999999999999996,86.66666666666667,80.0,86.66666666666667,1,0.942857142857143,-0.1192037221265491,disorder,rand,0.5,0
1,0.2,1.0,0.0343080264196624,0.1014149208791447,0.1014149208791447,0.5000000000000008,66.66666666666666,66.66666666666666,66.66666666666666,1,0.942857142857143,,disorder,rand,0.5,0
2,0.2,1.0,0.0343080264196624,0.2739262457527589,0.2739262457527589,0.5000000000000003,80.0,80.0,80.0,1,0.942857142857143,,disorder,rand,0.5,0
3,0.2,1.0,0.0343080264196624,0.4351786255306985,0.4351786255306985,0.5000000000000004,93.33333333333331,93.33333333333331,93.33333333333331,1,0.942857142857143,-0.2033853112067006,disorder,rand,0.5,0
1,0.3,1.0,0.0547642709806663,0.1534918546361017,0.1534918546361017,0.5000000000000002,86.66666666666667,86.66666666666667,86.66666666666667,1,1.0,,disorder,rand,0.5,0
2,0.3,1.0,0.0547642709806663,0.3908914016280784,0.3908914016280784,0.5000000000000003,86.66666666666667,86.66666666666667,86.66666666666667,1,1.0,,disorder,rand,0.5,0
3,0.3,1.0,0.0547642709806663,0.5749808633619842,0.5749808633619842,0.4999999999999999,100.0,100.0,100.0,1,1.0,-0.2636506288940878,disorder,rand,0.5,0
1,0.4,1.0,0.0620521559394225,0.1889104523068072,0.1889104523068072,0.4999999999999998,86.66666666666667,86.66666666666667,86.66666666666667,1,1.0,,disorder,rand,0.5,0
2,0.4,1.0,0.0620521559394225,0.4496927347093303,0.4496927347093303,0.4999999999999999,93.33333333333331,93.33333333333331,93.33333333333331,1,1.0,,disorder,rand,0.5,0
3,0.4,1.0,0.0620521559394225,0.5939763302663252,0.5939763302663252,0.5,100.0,100.0,100.0,1,1.0,-0.2874470910391257,disorder,rand,0.5,0
1,0.12,0.5,0.0058804038334363,0.0268475345118768,0.0078241185263686,0.6593987679594385,60.0,20.0,100.0,0,0.6,,disorder,rand,0.5,1
2,0.12,0.5,0.0058804038334363,0.0812669874524169,0.0394033617514767,0.6175095847151443,46.666666666666664,20.0,40.0,0,0.7142857142857143,,disorder,rand,0.5,1
3,0.12,0.5,0.0058804038334363,0.1457437405549233,0.0781426025728856,0.599487025573825,53.333333333333336,20.0,100.0,0,0.6571428571428573,-0.1140152915060781,disorder,rand,0.5,1
1,0.2,0.5,0.0030807203455287,0.0494103288633927,0.0184101858810119,0.643629134083107,46.666666666666664,20.0,26.666666666666668,0,0.8285714285714287,,disorder,rand,0.5,1
2,0.2,0.5,0.0030807203455287,0.1536577896120995,0.0790960117934441,0.5983729564016543,46.666666666666664,20.0,26.666666666666668,0,0.8285714285714287,,disorder,rand,0.5,1
3,0.2,0.5,0.0030807203455287,0.2568867989744652,0.1446529034148777,0.5835369521042527,46.666666666666664,20.0,100.0,0,0.7714285714285715,-0.239883654563166,disorder,rand,0.5,1
1,0.3,0.0,0.0149208459109506,0.0597196983069892,0.0378305342255379,0.5949764194967979,26.666666666666668,13.333333333333334,26.666666666666668,1,1.0,,disorder,rand,0.5,1
2,0.3,0.0,0.0149208459109506,0.1632909471327537,0.1367902042280821,0.5643244321571212,26.666666666666668,13.333333333333334,26.666666666666668,1,0.942857142857143,,disorder,rand,0.5,1
3,0.3,0.0,0.0149208459109506,0.2505660475254674,0.2189009228014151,0.5562226422971608,26.666666666666668,13.333333333333334,100.0,0,0.8285714285714287,-0.1505424384552242,disorder,rand,0.5,1
1,0.4,0.0,0.0160402307111378,0.070759723231594,0.0752882316865189,0.5092304593136263,13.333333333333334,20.0,40.0,0,0.7142857142857143,,disorder,rand,0.5,1
2,0.4,0.0,0.0160402307111378,0.1755505394292451,0.2131624330104339,0.505606021161819,13.333333333333334,20.0,40.0,0,0.942857142857143,,disorder,rand,0.5,1
3,0.4,0.0,0.0160402307111378,0.2488581621058105,0.28692668766084,0.5042189557247301,20.0,46.666666666666664,100.0,0,0.7142857142857143,-0.1777059878330359,disorder,rand,0.5,1
1,0.12,1.0,0.0054288317231667,0.0366638192484755,0.0366638192484755,0.5000000000000004,66.66666666666666,66.66666666666666,40.0,0,0.8857142857142858,,disorder,rand,0.5,2
