tau,S_fi,S_geo,S_sd,overlap_fi_geo,overlap_fi_sd,pct_fi,pct_geo,pct_sd,sd_fi,sd_geo,sd_opt,on_signed,off_frac,sp_Fi_total,sp_Fi_diag,setting,pattern,strength,realization,J_over_U,D_S,C_S_burn
1,"(3, 4)","(2, 3)","(1, 5)",0.5,0.0,93.33333333333331,86.66666666666667,20.0,-0.0042122849398118,-0.0028581724824805,0.0028660824267505,-0.0178469431446244,0.6769543196930767,0.942857142857143,-0.7714285714285715,disorder,rand,0.5,0,0.12,0.0178469431446244,0.01634679452045327
2,"(3, 4)","(2, 3)","(0, 5)",0.5,0.0,100.0,86.66666666666667,20.0,-0.0121601547534921,-0.0073108120436859,0.0061565917203201,-0.0389223418627433,0.6610363873986279,0.7714285714285715,-0.4285714285714286,disorder,rand,0.5,0,0.12,0.0389223418627433,0.01634679452045327
3,"(3, 4)","(2, 3)","(2, 4)",0.5,0.5,93.33333333333331,86.66666666666667,100.0,-0.0097031082164722,-0.0036707891972731,0.0349426700801391,-0.0616223533712225,0.6562121020145665,0.4285714285714286,0.1428571428571428,disorder,rand,0.5,0,0.12,0.0616223533712225,0.01634679452045327
1,"(2, 3)","(2, 3)","(0, 5)",1.0,0.0,100.0,100.0,20.0,-0.0089413379676095,-0.0089413379676095,0.0052096468536722,-0.0350156618670425,0.6295477497223696,0.7714285714285715,-0.8857142857142858,disorder,rand,0.5,0,0.2,0.0350156618670425,0.03430802641966241
2,"(2, 3)","(2, 3)","(0, 5)",1.0,0.0,100.0,100.0,20.0,-0.0182408572190784,-0.0182408572190784,0.0088968574235624,-0.0741131205547012,0.622763250123262,0.5428571428571429,-0.6571428571428573,disorder,rand,0.5,0,0.2,0.0741131205547012,0.03430802641966241
3,"(2, 3)","(2, 3)","(2, 4)",1.0,0.5,100.0,100.0,86.66666666666667,0.0105567701377973,0.0105567701377973,0.04802519980028,-0.1169376026490922,0.6195048788702184,0.2,0.3142857142857143,disorder,rand,0.5,0,0.2,0.1169376026490922,0.03430802641966241
1,"(2, 3)","(2, 3)","(0, 5)",1.0,0.0,100.0,100.0,20.0,-0.0157193779363484,-0.0157193779363484,0.0060039565350927,-0.0517309268467521,0.5863244309353565,0.8857142857142858,-0.942857142857143,disorder,rand,0.5,0,0.3,0.0517309268467521,0.05476427098066636
2,"(2, 3)","(2, 3)","(0, 4)",1.0,0.0,100.0,100.0,33.33333333333333,-0.0187715563444568,-0.0187715563444568,0.0114253633215097,-0.108106184825899,0.5879905340481215,0.5428571428571429,-0.1428571428571428,disorder,rand,0.5,0,0.3,0.108106184825899,0.05476427098066636
3,"(2, 3)","(2, 3)","(2, 4)",1.0,0.5,100.0,100.0,86.66666666666667,0.0656352210470501,0.0656352210470501,0.0725322006062989,-0.1710445647097547,0.5827627710746863,0.3142857142857143,0.5428571428571429,disorder,rand,0.5,0,0.3,0.1710445647097547,0.05476427098066636
1,"(2, 3)","(2, 3)","(0, 5)",1.0,0.0,100.0,100.0,20.0,-0.020369735984268,-0.020369735984268,0.0026987066493833,-0.0573874286877907,0.5884528662453061,0.942857142857143,-0.942857142857143,disorder,rand,0.5,0,0.4,0.0573874286877907,0.06205215593942251
