L,J_over_U,tau,k,S,handle_pct_fi,handle_gap,pct_kernel,pct_geo,pct_maxn,pct_anti,kernel_eq_fi,fi_eq_geo,sp_Fi_offsite,sp_Fi_total,sp_Fi_local,sp_Fi_spread,mean_bond_coh,sp_Fi_A,sp_total_A,total_redist_mean,kernel_spread_mean,off_sel_frac,on_sel_signed,colsum_sanity
7,0.12,1,3,"(2, 3, 4)",28.57142857142857,-0.0027616740015526274,100.0,28.57142857142857,100.0,37.142857142857146,0,1,0.6071428571428572,0.3571428571428572,-0.14285714285714288,0.5,0.4862728171232429,1.0,0.3571428571428572,0.002721454655794891,0.8696006271229372,0.7735103657737515,0.0017232139889707954,2.220446049250313e-15
7,0.12,2,3,"(2, 3, 4)",28.57142857142857,-0.004236022273322315,28.57142857142857,28.57142857142857,88.57142857142857,45.714285714285715,1,1,0.9285714285714288,0.642857142857143,0.41443123283995714,0.10714285714285716,0.4862728171232429,1.0,0.642857142857143,0.013261764383734212,1.0020739621209882,0.7732993872937294,0.003276257687305384,7.771561172376096e-15
7,0.12,3,3,"(2, 3, 4)",28.57142857142857,-0.005642705312353268,28.57142857142857,28.57142857142857,88.57142857142857,51.42857142857142,1,1,0.8214285714285715,0.642857142857143,0.42857142857142866,-0.42857142857142866,0.4862728171232429,1.0,0.642857142857143,0.029531977484799948,1.1231405275421573,0.7868553856177493,0.0038776931635328693,8.326672684688674e-15
7,0.16,1,3,"(2, 3, 4)",28.57142857142857,-0.003651073690936633,28.57142857142857,28.57142857142857,100.0,40.0,1,1,0.7857142857142859,0.3571428571428572,-0.43643578047198484,0.6071428571428572,0.5038217435246057,0.8928571428571429,0.6071428571428572,0.004757696874809758,0.8636259770541092,0.8547117157617928,-0.00024367337769481967,6.106226635438361e-15
7,0.16,2,3,"(2, 3, 4)",28.57142857142857,-0.004650522974897878,28.57142857142857,28.57142857142857,88.57142857142857,57.14285714285714,1,1,0.9642857142857145,0.9642857142857145,0.28571428571428575,-0.28571428571428575,0.5038217435246057,0.8928571428571429,0.8571428571428573,0.02299134668112276,1.052300984315767,0.8484623446453663,-0.001697776562051001,7.216449660063518e-15
7,0.16,3,3,"(2, 3, 4)",28.57142857142857,-0.005654790870673849,28.57142857142857,28.57142857142857,82.85714285714286,62.857142857142854,1,1,0.9642857142857145,0.9285714285714288,0.3783937343321348,-0.39285714285714296,0.5038217435246057,0.8928571428571429,0.8214285714285715,0.04788093352302863,1.1995367805646209,0.8642301511464836,-0.005698119647523592,1.1657341758564144e-14
7,0.2,1,3,"(2, 3, 4)",28.57142857142857,-0.002513773214866507,28.57142857142857,28.57142857142857,94.28571428571428,40.0,1,1,0.9642857142857145,0.9642857142857145,0.3783937343321348,0.5357142857142858,0.5197868480282642,1.0,0.9642857142857145,0.0071602919540082145,0.8908105198581531,0.8941263470867227,-0.004721044650478345,2.7755575615628914e-15
7,0.2,2,3,"(2, 3, 4)",45.714285714285715,-0.000839386103987521,45.714285714285715,45.714285714285715,71.42857142857143,57.14285714285714,1,1,0.8571428571428573,0.8928571428571429,0.594618725379069,-0.28571428571428575,0.5197868480282642,1.0,0.8928571428571429,0.0339583490426549,1.1170824824590952,0.8777856188294103,-0.011904439754535534,1.1102230246251565e-14
7,0.2,3,3,"(2, 3, 4)",65.71428571428571,0.0034067878884635784,65.71428571428571,65.71428571428571,51.42857142857142,57.14285714285714,1,1,0.8571428571428573,0.8468812149338255,0.5714285714285715,-0.25,0.5197868480282642,1.0,0.8468812149338255,0.06560319886214679,1.2987540145230276,0.8536219005144615,-0.023039659715407723,7.771561172376096e-15
7,0.24,1,3,"(2, 3, 4)",82.85714285714286,0.002703869322236069,82.85714285714286,82.85714285714286,82.85714285714286,17.142857142857142,1,1,0.8468812149338255,0.8214285714285715,0.8214285714285715,-0.25,0.5327393808671081,0.9642857142857145,0.8571428571428573,0.00977857338043461,0.9421599287648543,0.7969749256464002,-0.011290188040627314,2.7755575615628914e-15
7,0.24,2,3,"(2, 3, 4)",88.57142857142857,0.011657662652842045,88.57142857142857,88.57142857142857,88.57142857142857,37.142857142857146,1,1,0.8468812149338255,0.8728715609439697,0.8728715609439697,-0.25,0.5327393808671081,0.9642857142857145,0.8728715609439697,0.04522526647370525,1.186242874313274,0.7834612348496398,-0.025773671652100483,8.326672684688674e-15
7,0.24,3,3,"(2, 3, 4)",94.28571428571428,0.02200720645743426,94.28571428571428,94.28571428571428,94.28571428571428,37.142857142857146,1,1,0.5714285714285715,0.5714285714285715,0.8108437164260032,-0.6071428571428572,0.5327393808671081,0.9642857142857145,0.5357142857142858,0.08365325218405757,1.3533890207710872,0.7634640566557871,-0.044638602785860626,1.1102230246251565e-14
7,0.3,1,3,"(2, 3, 4)",100.0,0.012534706910355648,100.0,100.0,100.0,5.714285714285714,1,1,0.9541685964428459,0.8728715609439697,0.8728715609439697,-0.8365019125713041,0.543806084233043,0.9908673886137246,0.8829187134416479,0.01454861011482075,1.0351451766593662,0.6699367316358227,-0.022705393239483396,3.3306690738754696e-15
7,0.3,2,3,"(2, 3, 4)",100.0,0.03080657178548583,100.0,100.0,100.0,37.142857142857146,1,1,0.8365019125713041,0.8365019125713041,0.8728715609439697,-0.8728715609439697,0.543806084233043,0.9908673886137246,0.8108437164260032,0.06306708945863762,1.2427617082550566,0.6697214008375376,-0.047935633036547964,4.9960036108132044e-15
7,0.3,3,3,"(2, 3, 4)",100.0,0.04653853029487989,100.0,100.0,100.0,40.0,1,1,0.5819143739626464,0.5819143739626464,0.5819143739626464,-0.18184824186332701,0.543806084233043,0.9908673886137246,0.5585812268712466,0.10899488018827548,1.4357527521584488,0.6652420308519245,-0.0762864868725801,6.661338147750939e-15
