tau,S_fi,S_geo,S_sd,overlap_fi_geo,overlap_fi_sd,pct_fi,pct_geo,pct_sd,sd_fi,sd_geo,sd_opt,on_signed,off_frac,sp_Fi_total,sp_Fi_diag,setting,pattern,strength,J_over_U,D_S,C_S_burn
3,"(0, 1)","(2, 3)","(0, 1)",0.0,1.0,93.33333333333331,60.0,93.33333333333331,0.0804440872425615,0.0210189257827014,0.0804440872425615,-0.1341603929924433,0.6492543313893482,0.5428571428571429,0.7714285714285715,tilt,tilt,0.5,0.4,0.1341603929924433,0.03499166709732074
1,"(1, 2)","(2, 3)","(0, 3)",0.5,0.0,100.0,73.33333333333333,40.0,-0.0062781955135138,-0.002437610672171,0.0045337437435047,-0.024135095001419,0.4999999999999935,0.942857142857143,-0.3714285714285715,tilt,tilt,1.0,0.12,0.024135095001419,0.026845975144067776
2,"(1, 2)","(2, 3)","(0, 4)",0.5,0.0,100.0,80.0,40.0,-0.0147241053944358,-0.0074426321131271,0.0085594639845306,-0.0469832927857314,0.4999999999999998,0.942857142857143,-0.6,tilt,tilt,1.0,0.12,0.0469832927857314,0.026845975144067776
3,"(1, 2)","(2, 3)","(2, 4)",0.5,0.5,100.0,93.33333333333331,80.0,-0.0046046940718968,-0.0051425787249176,0.0051693209629386,-0.0745400544728743,0.5000000000000007,0.7714285714285715,0.0285714285714285,tilt,tilt,1.0,0.12,0.0745400544728743,0.026845975144067776
1,"(1, 2)","(2, 3)","(0, 4)",0.5,0.0,100.0,80.0,40.0,-0.0107415644858788,-0.0054065566677133,0.0049791929479853,-0.030755103315665,0.4999999999999965,0.942857142857143,-0.5428571428571429,tilt,tilt,1.0,0.2,0.030755103315665,0.03818397126422671
2,"(1, 2)","(2, 3)","(0, 4)",0.5,0.0,100.0,93.33333333333331,40.0,-0.0227897309563518,-0.0190108225117349,0.0094989391323739,-0.0582988025229964,0.5000000000000003,0.942857142857143,-0.5428571428571429,tilt,tilt,1.0,0.2,0.0582988025229964,0.03818397126422671
3,"(1, 2)","(2, 3)","(2, 4)",0.5,0.5,100.0,93.33333333333331,80.0,0.0039627169832712,-0.0153362145566898,0.0129508898643761,-0.0929297284669814,0.499999999999998,0.4285714285714286,-0.1428571428571428,tilt,tilt,1.0,0.2,0.0929297284669814,0.03818397126422671
1,"(0, 1)","(2, 3)","(0, 4)",0.0,0.5,93.33333333333331,66.66666666666666,40.0,-0.0069872896035372,-0.0085965929324885,0.0045335769723447,-0.0181977820365465,0.7178653820939139,0.942857142857143,-0.3714285714285715,tilt,tilt,1.0,0.3,0.0181977820365465,0.012951413486960557
2,"(0, 1)","(2, 3)","(0, 4)",0.0,0.5,93.33333333333331,66.66666666666666,46.666666666666664,-0.01211997194966,-0.0216869524767127,0.0104525101356318,-0.0517101719238117,0.6313888287304303,0.7714285714285715,-0.3142857142857143,tilt,tilt,1.0,0.3,0.0517101719238117,0.012951413486960557
3,"(0, 1)","(2, 3)","(1, 2)",0.0,0.5,93.33333333333331,66.66666666666666,100.0,0.014254679307889,-0.0032892276031629,0.0417512923057439,-0.092889912621727,0.5989159863087191,0.4285714285714286,0.4857142857142857,tilt,tilt,1.0,0.3,0.092889912621727,0.012951413486960557
