tau,S_fi,S_geo,S_sd,overlap_fi_geo,overlap_fi_sd,pct_fi,pct_geo,pct_sd,sd_fi,sd_geo,sd_opt,on_signed,off_frac,sp_Fi_total,sp_Fi_diag,setting,pattern,strength,realization,J_over_U
1,"(3, 4)","(2, 3)","(1, 5)",0.5,0.0,93.33333333333333,86.66666666666667,20.0,-0.00421228493981185,-0.0028581724824805477,0.0028660824267505436,-0.017846943144624428,0.6769543196930767,0.942857142857143,-0.7714285714285715,disorder,rand,0.5,0,0.12
2,"(3, 4)","(2, 3)","(0, 5)",0.5,0.0,100.0,86.66666666666667,20.0,-0.012160154753492192,-0.007310812043685999,0.006156591720320112,-0.03892234186274335,0.6610363873986279,0.7714285714285715,-0.4285714285714286,disorder,rand,0.5,0,0.12
3,"(3, 4)","(2, 3)","(2, 4)",0.5,0.5,93.33333333333333,86.66666666666667,100.0,-0.009703108216472245,-0.00367078919727315,0.03494267008013918,-0.06162235337122257,0.6562121020145665,0.4285714285714286,0.14285714285714288,disorder,rand,0.5,0,0.12
1,"(2, 3)","(2, 3)","(0, 5)",1.0,0.0,100.0,100.0,20.0,-0.008941337967609542,-0.008941337967609542,0.005209646853672201,-0.035015661867042525,0.6295477497223696,0.7714285714285715,-0.8857142857142858,disorder,rand,0.5,0,0.2
2,"(2, 3)","(2, 3)","(0, 5)",1.0,0.0,100.0,100.0,20.0,-0.01824085721907842,-0.01824085721907842,0.008896857423562471,-0.0741131205547012,0.622763250123262,0.5428571428571429,-0.6571428571428573,disorder,rand,0.5,0,0.2
3,"(2, 3)","(2, 3)","(2, 4)",1.0,0.5,100.0,100.0,86.66666666666667,0.010556770137797322,0.010556770137797322,0.04802519980028008,-0.11693760264909225,0.6195048788702184,0.2,0.3142857142857143,disorder,rand,0.5,0,0.2
1,"(2, 3)","(2, 3)","(0, 5)",1.0,0.0,100.0,100.0,20.0,-0.015719377936348478,-0.015719377936348478,0.00600395653509278,-0.05173092684675218,0.5863244309353565,0.8857142857142858,-0.942857142857143,disorder,rand,0.5,0,0.3
2,"(2, 3)","(2, 3)","(0, 4)",1.0,0.0,100.0,100.0,33.33333333333333,-0.01877155634445682,-0.01877155634445682,0.01142536332150973,-0.10810618482589907,0.5879905340481215,0.5428571428571429,-0.14285714285714288,disorder,rand,0.5,0,0.3
3,"(2, 3)","(2, 3)","(2, 4)",1.0,0.5,100.0,100.0,86.66666666666667,0.06563522104705011,0.06563522104705011,0.07253220060629895,-0.1710445647097547,0.5827627710746863,0.3142857142857143,0.5428571428571429,disorder,rand,0.5,0,0.3
1,"(2, 3)","(2, 3)","(0, 5)",1.0,0.0,100.0,100.0,20.0,-0.020369735984268056,-0.020369735984268056,0.00269870664938332,-0.05738742868779079,0.5884528662453061,0.942857142857143,-0.942857142857143,disorder,rand,0.5,0,0.4
2,"(2, 3)","(2, 3)","(0, 3)",1.0,0.5,100.0,100.0,80.0,0.0010632867589033257,0.0010632867589033257,0.006290973310217884,-0.12285271671831033,0.578105019840419,0.5428571428571429,0.08571428571428573,disorder,rand,0.5,0,0.4
3,"(2, 3)","(2, 3)","(2, 3)",1.0,1.0,100.0,100.0,100.0,0.12881875817120192,0.12881875817120192,0.12881875817120192,-0.19196026737954774,0.577643120551276,0.942857142857143,0.8285714285714287,disorder,rand,0.5,0,0.4
1,"(1, 2)","(2, 3)","(3, 4)",0.5,0.0,46.666666666666664,20.0,20.0,-0.0018955054059216492,0.0010777109771778481,0.00217650072742423,-0.003841933601382852,0.8975385411378808,0.48571428571428577,-0.6571428571428573,disorder,rand,0.5,1,0.12
2,"(1, 2)","(2, 3)","(3, 5)",0.5,0.0,40.0,20.0,80.0,-0.0043483975298946875,0.0016293693053753833,0.004527232793091196,-0.006482854427527496,0.916530169920908,0.7714285714285715,-0.6,disorder,rand,0.5,1,0.12
3,"(1, 2)","(2, 3)","(1, 5)",0.5,0.5,53.333333333333336,20.0,100.0,0.0046514692696864035,0.0006961962196710969,0.022072341895834624,-0.012692517737501241,0.8918187481178805,0.6,-0.08571428571428573,disorder,rand,0.5,1,0.12
1,"(1, 2)","(2, 3)","(3, 4)",0.5,0.0,40.0,26.666666666666668,20.0,-0.004125198765895233,0.00034950532658922784,0.0014264561999757785,-0.001379806474028633,0.9129291543282105,0.8285714285714287,-1.0,disorder,rand,0.5,1,0.2
2,"(1, 2)","(2, 3)","(3, 5)",0.5,0.0,40.0,33.33333333333333,73.33333333333333,-0.01241871934386074,-0.0035835405467860015,0.00809188227579305,-0.004327136115225505,0.9389405080043922,0.3142857142857143,-0.3142857142857143,disorder,rand,0.5,1,0.2
3,"(1, 2)","(2, 3)","(1, 5)",0.5,0.5,40.0,20.0,86.66666666666667,0.004768930428076801,-0.00752039480280714,0.04080659413073673,-0.013189316314449251,0.9294352674114381,-0.3714285714285715,0.6,disorder,rand,0.5,1,0.2
1,"(0, 1)","(2, 3)","(0, 5)",0.0,0.5,86.66666666666667,20.0,100.0,-0.007642997022806464,-0.003213825611388388,0.0013521619133749496,-0.016671736021926287,0.7282339131354897,0.2571428571428572,-0.08571428571428573,disorder,rand,0.5,1,0.3
2,"(0, 1)","(2, 3)","(0, 5)",0.0,0.5,80.0,20.0,100.0,-0.014731660264336588,-0.017486777669738496,0.02490685626435396,-0.03787211072533603,0.6935879638696386,-0.5428571428571429,0.14285714285714288,disorder,rand,0.5,1,0.3
3,"(0, 1)","(2, 3)","(0, 5)",0.0,0.5,80.0,20.0,100.0,0.024726575749921542,-0.021840826175835715,0.08240215137781948,-0.062024829195499676,0.6656432106380582,-0.942857142857143,0.4285714285714286,disorder,rand,0.5,1,0.3
1,"(0, 1)","(2, 3)","(0, 5)",0.0,0.5,100.0,20.0,80.0,-0.009680533795259905,-0.012290882269429537,0.004896494158340703,-0.01469158032797735,0.5410923103550395,-0.14285714285714288,-0.08571428571428573,disorder,rand,0.5,1,0.4
2,"(0, 1)","(2, 3)","(0, 5)",0.0,0.5,100.0,33.33333333333333,93.33333333333333,-0.008185650970572445,-0.036059825258318856,0.034819298476930216,-0.033420182318174896,0.5335702864425711,-0.6,0.4285714285714286,disorder,rand,0.5,1,0.4
3,"(0, 1)","(2, 3)","(0, 5)",0.0,0.5,100.0,33.33333333333333,93.33333333333333,0.05411668034687622,-0.02792042841168685,0.10561315296039764,-0.059405026263294025,0.524721046834376,-0.8857142857142858,0.4285714285714286,disorder,rand,0.5,1,0.4
1,"(2, 3)","(2, 3)","(1, 4)",1.0,0.0,93.33333333333333,93.33333333333333,60.0,-0.006296063361844739,-0.006296063361844739,0.005880820090032879,-0.005208037004678867,0.7032882983269735,0.8857142857142858,-0.6,disorder,rand,0.5,2,0.12
2,"(2, 3)","(2, 3)","(1, 4)",1.0,0.0,60.0,60.0,93.33333333333333,-0.031440666414046525,-0.031440666414046525,0.03443979781120987,-0.007219829699778191,0.7908377565248412,0.6571428571428573,-0.7142857142857143,disorder,rand,0.5,2,0.12
