tau,J_over_U,overlap_fi_geo,C_S_burn,D_S,D_S_geo,off_sel_frac,pct_fi,pct_geo,pct_dopt,dopt_eq_fi,sp_Fi_drain,D_S_neg,setting,pattern,strength
2,0.12,0.5,0.026845975144067776,0.162361967613472,0.0863344837321492,0.5000000000000002,86.66666666666667,53.333333333333336,86.66666666666667,1,0.942857142857143,,tilt,tilt,1.0
3,0.12,0.5,0.026845975144067776,0.2830920200288667,0.15312887453683902,0.5000000000000001,93.33333333333333,53.333333333333336,93.33333333333333,1,0.942857142857143,-0.10108085135907974,tilt,tilt,1.0
1,0.2,0.5,0.03818397126422671,0.10086588958565623,0.05016221129359477,0.4999999999999998,86.66666666666667,53.333333333333336,86.66666666666667,1,0.942857142857143,,tilt,tilt,1.0
2,0.2,0.5,0.03818397126422671,0.2664617552758348,0.14589365935354087,0.4999999999999993,86.66666666666667,46.666666666666664,86.66666666666667,1,0.942857142857143,,tilt,tilt,1.0
3,0.2,0.5,0.03818397126422671,0.4315503045893573,0.2418925937315198,0.49999999999999956,93.33333333333333,53.333333333333336,93.33333333333333,1,0.942857142857143,-0.21168841787135495,tilt,tilt,1.0
1,0.3,0.0,0.012951413486960557,0.07715733194946983,0.06802972148683589,0.5000000000000002,33.33333333333333,26.666666666666668,73.33333333333333,0,0.8857142857142858,,tilt,tilt,1.0
2,0.3,0.0,0.012951413486960557,0.21321321216960398,0.1829653794592795,0.5000000000000002,33.33333333333333,26.666666666666668,86.66666666666667,0,0.942857142857143,,tilt,tilt,1.0
3,0.3,0.0,0.012951413486960557,0.3237652711518557,0.2718364029931817,0.5,60.0,26.666666666666668,60.0,1,1.0,-0.17340205356312532,tilt,tilt,1.0
1,0.4,0.0,0.040965718613345165,0.12261182952767513,0.07914344951362048,0.5000000000000018,60.0,26.666666666666668,60.0,1,1.0,,tilt,tilt,1.0
2,0.4,0.0,0.040965718613345165,0.29290258337574815,0.20753885898891267,0.4999999999999999,60.0,26.666666666666668,60.0,1,1.0,,tilt,tilt,1.0
3,0.4,0.0,0.040965718613345165,0.42181759433437493,0.2794928936994666,0.5,93.33333333333333,40.0,93.33333333333333,1,0.942857142857143,-0.1367177190023693,tilt,tilt,1.0
1,0.12,0.0,0.011391364136792823,0.020501018748358746,-0.003758646414440817,0.5000000000000119,46.666666666666664,40.0,46.666666666666664,1,0.3714285714285715,,tilt,tilt,2.0
2,0.12,0.0,0.011391364136792823,0.05556297184754366,-6.776472084842359e-05,0.5000000000000011,46.666666666666664,26.666666666666668,46.666666666666664,1,0.7714285714285715,,tilt,tilt,2.0
3,0.12,0.0,0.011391364136792823,0.09940046557293991,-0.0013310725146797628,0.5000000000000014,46.666666666666664,26.666666666666668,46.666666666666664,1,0.7142857142857143,0.0014641768757563955,tilt,tilt,2.0
1,0.2,0.0,0.029964223367858797,0.05215330156478437,-0.007428537564582151,0.5000000000000008,46.666666666666664,40.0,46.666666666666664,1,0.48571428571428577,,tilt,tilt,2.0
2,0.2,0.0,0.029964223367858797,0.1351435746440508,0.008743376931988645,0.49999999999999906,46.666666666666664,26.666666666666668,46.666666666666664,1,0.7714285714285715,,tilt,tilt,2.0
3,0.2,0.0,0.029964223367858797,0.22908397251279944,0.01414953946496412,0.5000000000000016,46.666666666666664,26.666666666666668,46.666666666666664,1,0.7714285714285715,-0.01140265322530487,tilt,tilt,2.0
1,0.3,0.0,0.042540761688388426,0.08286685322609189,0.005612488437865368,0.5000000000000014,46.666666666666664,26.666666666666668,46.666666666666664,1,0.7714285714285715,,tilt,tilt,2.0
2,0.3,0.0,0.042540761688388426,0.20906814577455535,0.04761090827223148,0.5,46.666666666666664,26.666666666666668,46.666666666666664,1,0.942857142857143,,tilt,tilt,2.0
3,0.3,0.0,0.042540761688388426,0.3298706627740804,0.060148124602304245,0.5000000000000009,53.333333333333336,26.666666666666668,53.333333333333336,1,0.942857142857143,-0.04108403312679265,tilt,tilt,2.0
1,0.4,0.0,0.04963595497501119,0.1064638850736489,0.028293792530587655,0.5000000000000007,46.666666666666664,26.666666666666668,46.666666666666664,1,0.942857142857143,,tilt,tilt,2.0
2,0.4,0.0,0.04963595497501119,0.2578957046209942,0.09203814713074379,0.4999999999999991,46.666666666666664,26.666666666666668,46.666666666666664,1,1.0,,tilt,tilt,2.0
