tau,S_fi,S_geo,S_sd,overlap_fi_geo,overlap_fi_sd,pct_fi,pct_geo,pct_sd,sd_fi,sd_geo,sd_opt,on_signed,off_frac,sp_Fi_total,sp_Fi_diag,setting,pattern,strength,J_over_U
2,"(1, 2)","(2, 3)","(0, 4)",0.5,0.0,100.0,93.33333333333333,40.0,-0.02278973095635184,-0.01901082251173497,0.009498939132373957,-0.05829880252299646,0.5000000000000003,0.942857142857143,-0.5428571428571429,tilt,tilt,1.0,0.2
3,"(1, 2)","(2, 3)","(2, 4)",0.5,0.5,100.0,93.33333333333333,80.0,0.0039627169832712195,-0.015336214556689876,0.01295088986437612,-0.09292972846698144,0.499999999999998,0.4285714285714286,-0.14285714285714288,tilt,tilt,1.0,0.2
1,"(0, 1)","(2, 3)","(0, 4)",0.0,0.5,93.33333333333333,66.66666666666666,40.0,-0.006987289603537228,-0.008596592932488545,0.004533576972344799,-0.01819778203654654,0.7178653820939139,0.942857142857143,-0.3714285714285715,tilt,tilt,1.0,0.3
2,"(0, 1)","(2, 3)","(0, 4)",0.0,0.5,93.33333333333333,66.66666666666666,46.666666666666664,-0.01211997194966008,-0.021686952476712706,0.010452510135631893,-0.051710171923811776,0.6313888287304303,0.7714285714285715,-0.3142857142857143,tilt,tilt,1.0,0.3
3,"(0, 1)","(2, 3)","(1, 2)",0.0,0.5,93.33333333333333,66.66666666666666,100.0,0.01425467930788904,-0.003289227603162914,0.041751292305743926,-0.09288991262172708,0.5989159863087191,0.4285714285714286,0.48571428571428577,tilt,tilt,1.0,0.3
1,"(0, 1)","(2, 3)","(4, 5)",0.0,0.0,100.0,40.0,26.666666666666668,-0.013858151997246937,-0.011706287407507454,0.004913628988126237,-0.04470642952419379,0.562429143245643,0.8285714285714287,-0.8285714285714287,tilt,tilt,1.0,0.4
2,"(0, 1)","(2, 3)","(0, 5)",0.0,0.5,100.0,40.0,66.66666666666666,-0.001282772118158526,-0.024128095600728372,0.011293351768532911,-0.1041713510913801,0.5555864196207277,0.6,-0.4285714285714286,tilt,tilt,1.0,0.4
3,"(0, 1)","(2, 3)","(1, 2)",0.0,0.5,100.0,40.0,93.33333333333333,0.0718541786778526,0.0038787541554013982,0.08334508612813707,-0.17032385727373178,0.5591776997949804,0.942857142857143,0.7714285714285715,tilt,tilt,1.0,0.4
1,"(0, 1)","(2, 3)","(2, 3)",0.0,0.0,100.0,40.0,40.0,-0.0014491515604198035,0.0008096266273710257,0.0008096266273710257,-0.011683531722391338,0.499999999999979,1.0,-0.48571428571428577,tilt,tilt,2.0,0.12
2,"(0, 1)","(2, 3)","(0, 5)",0.0,0.5,100.0,40.0,86.66666666666667,-0.0009871532697713903,-0.002642441882451654,0.0061693826604008045,-0.02587405484264682,0.5000000000000089,1.0,-0.4285714285714286,tilt,tilt,2.0,0.12
