J_over_U,tau,gamma_loss,pct_fi,pct_geo,pct_maxn,pct_edge,dN_fi,dN_edge,dN_spread,sp_dN_n,sp_dN_fi,sp_dN_cur,sp_dN_geo,fi_eq_maxn,fi_eq_geo,on_loss,off_chg
0.2,2,0.02,100.0,100.0,100.0,6.666666666666667,0.043228725420545455,0.03177156781075885,0.011457157609786606,0.9579264629862545,0.9551986665115965,0.6320524138956033,0.9662156648241251,1,1,0.05377620506620617,0.010547479645659552
0.2,3,0.02,100.0,100.0,100.0,6.666666666666667,0.06407884060075242,0.04772788920234117,0.01635095139841125,0.944545339630402,0.9427040483262403,0.6189634233184074,0.9653494919339116,1,1,0.07700821618753784,0.01292937558678392
0.2,1,0.05,100.0,100.0,100.0,6.666666666666667,0.053912175430787634,0.03907977485022229,0.014832400580565341,0.9383381762961646,0.9516994633273702,0.6237714733854504,0.9644856443408243,1,1,0.05897386177541053,0.005061686344621508
0.2,2,0.05,100.0,100.0,100.0,6.666666666666667,0.10503921512521996,0.07719094808619609,0.027848267039023877,0.950764395973273,0.9632631955909624,0.635633447402094,0.9662156648241251,1,1,0.11070760842972327,0.005668393304501973
0.2,3,0.05,100.0,100.0,100.0,6.666666666666667,0.1538045415159246,0.11453206112193648,0.03927248039398812,0.9409675163742263,0.9498660923781017,0.6261190698307589,0.9653494919339116,1,1,0.15354553972181584,-0.0002590017941103695
0.2,1,0.1,100.0,100.0,100.0,6.666666666666667,0.10522376941745915,0.07627180067637074,0.028951968741088407,0.950764395973273,0.9623671368043663,0.6392144809085848,0.9662156648241251,1,1,0.10908994462633798,0.003866175208877609
0.2,2,0.1,100.0,100.0,100.0,6.666666666666667,0.2004738242130797,0.14729588868995513,0.05317793552312455,0.9579264629862545,0.9686395483105401,0.6463765479215661,0.9662156648241251,1,1,0.19856744093936807,-0.0019063832737132302
0.2,3,0.1,86.66666666666667,86.66666666666667,86.66666666666667,6.666666666666667,0.28782063320714624,0.21425490443017292,0.07499777371098171,0.9276143114242084,0.9302325581395348,0.6809654193692165,0.9125518019532414,1,1,0.2676864825235207,-0.020134150683626895
0.3,1,0.02,100.0,100.0,100.0,6.666666666666667,0.022335420887529267,0.015412107763138394,0.006923313124390873,0.9578479188594629,0.9542190305206462,0.950764395973273,0.9662156648241251,1,1,0.0430115586720734,0.02067613778454186
0.3,2,0.02,100.0,100.0,100.0,6.666666666666667,0.043863080238788044,0.03110196243308838,0.012761117805699662,0.9516129032258065,0.9488793053869959,0.944545339630402,0.9653494919339116,1,1,0.07983675323579098,0.03597367299700105
0.3,3,0.02,100.0,100.0,100.0,6.666666666666667,0.06475143865240351,0.04701616930257879,0.017735269349824723,0.9470855826925028,0.9380610412926389,0.9436023289602917,0.9662156648241251,1,1,0.10652405560392397,0.041772616951517905
0.3,1,0.05,100.0,100.0,100.0,6.666666666666667,0.05503048361199614,0.03797222825636615,0.017058255355629992,0.9497322307775304,0.953279809746612,0.9498268896207664,0.9670841734622438,1,1,0.07411674939985136,0.019086265787853607
0.3,2,0.05,100.0,100.0,100.0,6.666666666666667,0.10670184115469539,0.0756572231692445,0.031044617985450884,0.9434981373035157,0.9470377019748651,0.9436023289602917,0.9662156648241251,1,1,0.13303068437013477,0.02632884321543688
0.3,3,0.05,86.66666666666667,86.66666666666667,86.66666666666667,6.666666666666667,0.15589061380021274,0.1132061178713828,0.042850557803470135,0.9139784946236559,0.9067268220664014,0.91234493032482,0.9133691346759316,1,1,0.1735298271069381,0.017639213306722912
0.3,1,0.1,100.0,100.0,100.0,6.666666666666667,0.1074368046173082,0.07413224659782536,0.033304558019482844,0.9622995759863069,0.9586706475020125,0.9605796468617563,0.9670841734622438,1,1,0.12396323892240502,0.016526434305095206
0.3,2,0.1,100.0,100.0,100.0,6.666666666666667,0.20402879159097642,0.14466299068706778,0.05936580090390864,0.9488793053869959,0.9506283662477556,0.950764395973273,0.9662156648241251,1,1,0.21532810587154128,0.011299314280562633
0.3,3,0.1,80.0,80.0,80.0,6.666666666666667,0.29316969332150045,0.21294981329217766,0.08314880103539357,0.885304659498208,0.8753366749127675,0.8873001675315897,0.8873789560469417,1,1,0.27421061317986245,-0.018959080141640272
0.4,1,0.02,100.0,100.0,100.0,6.666666666666667,0.022414405074624444,0.015336551782750618,0.007077853291873826,0.9534050179211471,0.9517009861427537,0.9517009861427537,0.9653494919339116,1,1,0.05175779183133522,0.029343386756712442
0.4,2,0.02,100.0,100.0,100.0,6.666666666666667,0.04396669397076014,0.031057321047872843,0.012909372922887297,0.965085435988307,0.9597859060400769,0.9597859060400769,0.9644856443408243,1,1,0.08486149873137805,0.040894804760619574
0.4,3,0.02,100.0,100.0,100.0,6.666666666666667,0.06503980578037005,0.047072228977345976,0.017967576803024077,0.9452438932029675,0.9390741323797765,0.9390741323797765,0.9670841734622438,1,1,0.10138097790761103,0.036341172127242694
0.4,1,0.05,100.0,100.0,100.0,6.666666666666667,0.055236965253047554,0.037794918907008146,0.017442046346039408,0.9505874603346879,0.9453009843927758,0.9453009843927758,0.967955028364922,1,1,0.0820250319111897,0.026788066658143705
0.4,2,0.05,100.0,100.0,100.0,6.666666666666667,0.10709666956554287,0.07566004113552793,0.031436628430014935,0.9515275658073556,0.9462426372071032,0.9462426372071032,0.9670841734622438,1,1,0.13349058505368883,0.026393915488147512
0.4,3,0.05,86.66666666666667,86.66666666666667,86.66666666666667,6.666666666666667,0.15708039956521747,0.11374473219921732,0.04350744675309137,0.9274193548387099,0.9195005768371717,0.9195005768371717,0.9133691346759316,1,1,0.15983134139989347,0.002750941834677334
0.4,1,0.1,100.0,100.0,100.0,6.666666666666667,0.10787839918138209,0.07381477914675783,0.034063620034624265,0.9587813620071686,0.9552788093989292,0.9552788093989292,0.9653494919339116,1,1,0.130550415396675,0.02267201621529419
0.4,2,0.1,100.0,100.0,100.0,6.666666666666667,0.2052328301248636,0.1450206734364068,0.06021215668845681,0.9559783154972665,0.9524759444261174,0.9524759444261174,0.967955028364922,1,1,0.2089956280649774,0.0037627979401151923
0.4,3,0.1,80.0,80.0,80.0,6.666666666666667,0.29692250463958647,0.2152088492345423,0.08522203177540755,0.9167416386382433,0.9097412033042814,0.9097412033042814,0.88658488075945,1,1,0.2485322023807382,-0.048390302258846773
