L,J_over_U,tau,S,C_S_burn,D_S,handle_pct,sp_out_Rii,sp_Fi_out,cont_err
7,0.12,1,"(2, 3, 4)",-0.0016347799611676076,-0.0017232139889707954,28.57142857142857,-0.9642857142857145,0.42857142857142866,1.0871560652530449e-05
7,0.12,2,"(2, 3, 4)",-0.0016347799611676076,-0.003276257687305384,28.57142857142857,-0.9189562119494703,0.42857142857142866,1.0871560652530449e-05
7,0.12,3,"(2, 3, 4)",-0.0016347799611676076,-0.0038776931635328693,28.57142857142857,-0.9642857142857145,0.42857142857142866,1.0871560652530449e-05
7,0.16,1,"(2, 3, 4)",5.9833216359114674e-05,0.00024367337769481967,28.57142857142857,-0.981980506061966,0.3214285714285715,9.696785191413634e-06
7,0.16,2,"(2, 3, 4)",5.9833216359114674e-05,0.001697776562051001,28.57142857142857,-0.9285714285714288,0.3214285714285715,9.696785191413634e-06
7,0.16,3,"(2, 3, 4)",5.9833216359114674e-05,0.005698119647523592,28.57142857142857,-0.8468812149338255,0.3214285714285715,9.696785191413634e-06
7,0.2,1,"(2, 3, 4)",0.00415545239321311,0.004721044650478345,28.57142857142857,-0.9549937104572925,0.42857142857142866,8.082700947579027e-06
7,0.2,2,"(2, 3, 4)",0.00415545239321311,0.011904439754535534,45.714285714285715,-0.3783937343321348,0.42857142857142866,8.082700947579027e-06
7,0.2,3,"(2, 3, 4)",0.00415545239321311,0.023039659715407723,65.71428571428571,-0.39285714285714296,0.42857142857142866,8.082700947579027e-06
7,0.24,1,"(2, 3, 4)",0.010566291021916528,0.011290188040627314,82.85714285714286,-0.25,0.4642857142857144,1.7783164401428617e-05
7,0.24,2,"(2, 3, 4)",0.010566291021916528,0.025773671652100483,88.57142857142857,-0.32732683535398865,0.4642857142857144,1.7783164401428617e-05
7,0.24,3,"(2, 3, 4)",0.010566291021916528,0.044638602785860626,94.28571428571428,-0.2702812388086677,0.4642857142857144,1.7783164401428617e-05
7,0.3,1,"(2, 3, 4)",0.02279234516432513,0.022705393239483396,100.0,-0.8571428571428573,0.981980506061966,3.89522466403211e-05
7,0.3,2,"(2, 3, 4)",0.02279234516432513,0.047935633036547964,100.0,-0.8571428571428573,0.981980506061966,3.89522466403211e-05
7,0.3,3,"(2, 3, 4)",0.02279234516432513,0.0762864868725801,100.0,-0.5714285714285715,0.981980506061966,3.89522466403211e-05
7,0.4,1,"(2, 3, 4)",0.04158115347023832,0.03722840530934346,100.0,-0.9642857142857145,0.8928571428571429,3.8401216802107924e-05
7,0.4,2,"(2, 3, 4)",0.04158115347023832,0.07310856624027712,100.0,-0.9549937104572925,0.8928571428571429,3.8401216802107924e-05
7,0.4,3,"(2, 3, 4)",0.04158115347023832,0.10942850674265503,100.0,0.30631873731649006,0.8928571428571429,3.8401216802107924e-05
